Date,HSI
8/12/2004,13203.58984
9/12/2004,13385.79981
10/12/2004,13352.21973
13/12/2004,13396.65039
14/12/2004,13320.87988
15/12/2004,13249.80957
16/12/2004,13167.75977
17/12/2004,13253.30957
20/12/2004,13570.42969
21/12/2004,13750.58008
22/12/2004,null
23/12/2004,null
24/12/2004,13727.26953
27/12/2004,13761.87988
28/12/2004,13431.78027
29/12/2004,13334.00977
30/12/2004,13289.37012
31/12/2004,12999.98047
3/1/2005,13090.00977
4/1/2005,13086.73047
5/1/2005,13030.94043
6/1/2005,13309.59961
7/1/2005,13576.67969
10/1/2005,13515.66016
11/1/2005,13524.75977
12/1/2005,13625.12988
13/1/2005,13739.79981
14/1/2005,13831.53027
17/1/2005,13815.44043
18/1/2005,13928.37988
19/1/2005,13867.21973
20/1/2005,13868.37012
21/1/2005,13765.07031
24/1/2005,13756.41016
25/1/2005,13599.46973
26/1/2005,13674.63965
27/1/2005,13907.03027
28/1/2005,13918.65039
31/1/2005,13731.34961
1/2/2005,13454.08984
2/2/2005,13451.55957
3/2/2005,13454.75977
4/2/2005,13573.54004
7/2/2005,13397.25
8/2/2005,13214.2002
9/2/2005,13024.05957
10/2/2005,12932.23047
